27130,5024,-7501,19882,168,-3230,1781
27140,4991,-7469,19870,163,-3234,1790
27150,5042,-7440,19895,158,-3223,1777
27160,5037,-7482,19907,166,-3220,1784
27170,5034,-7442,19930,165,-3221,1784
27179,5011,-7496,19878,168,-3231,1788
27189,5019,-7480,19867,155,-3231,1786
27199,5008,-7472,19869,158,-3233,1775
27209,5009,-7440,19888,170,-3228,1779
27219,5028,-7486,19890,166,-3237,1787
27229,5020,-7457,19911,167,-3240,1779
27239,5020,-7474,19877,163,-3246,1785
27249,5037,-7472,19881,174,-3227,1788
27259,5016,-7462,19839,183,-3229,1786
27269,4996,-7436,19887,173,-3230,1785
27279,5021,-7476,19854,160,-3223,1791
27289,5016,-7458,19902,162,-3221,1780
27298,5004,-7466,19880,171,-3225,1769
27308,4999,-7461,19881,162,-3219,1774
27318,4998,-7489,19884,151,-3228,1774
27328,5057,-7430,19881,166,-3229,1776
27338,5000,-7443,19881,173,-3226,1774
27348,4977,-7497,19889,168,-3232,1783
27358,5031,-7495,19888,184,-3234,1781
27368,4978,-7472,19939,168,-3232,1775
27378,5028,-7487,19897,157,-3232,1779
27388,5011,-7490,19902,162,-3238,1778
27398,5022,-7444,19892,178,-3215,1771
27407,5008,-7468,19874,165,-3218,1776
27417,5021,-7487,19877,164,-3227,1795
27427,5005,-7466,19877,166,-3227,1792
27437,5009,-7458,19888,170,-3227,1778
27447,5034,-7464,19916,168,-3232,1786
27457,5039,-7472,19918,169,-3228,1788
27467,5006,-7464,19864,167,-3230,1779
27477,5055,-7457,19881,167,-3235,1771
27487,5041,-7472,19876,173,-3224,1784
27497,5032,-7476,19874,158,-3233,1790
27507,5045,-7463,19893,166,-3225,1782
27517,5013,-7448,19923,176,-3223,1785
27526,5028,-7463,19876,162,-3228,1791
27536,5023,-7471,19885,171,-3222,1789
27546,5016,-7494,19883,156,-3230,1788
27556,5018,-7460,19910,184,-3232,1786
27566,5026,-7492,19905,162,-3227,1785
27576,5039,-7480,19886,142,-3230,1780
27586,5005,-7487,19865,161,-3229,1791
27596,5027,-7484,19914,168,-3231,1776
27606,5025,-7469,19921,165,-3232,1772
27616,5032,-7454,19968,160,-3228,1788
27626,5016,-7469,19909,155,-3231,1777
27635,4994,-7461,19886,159,-3226,1772
27645,5023,-7478,19870,161,-3224,1782
27655,5016,-7457,19924,172,-3222,1783
27665,5026,-7439,19914,173,-3221,1789
27675,5034,-7461,19858,174,-3223,1767
27685,5010,-7448,19862,165,-3235,1772
27695,4991,-7438,19873,170,-3214,1781
27705,5005,-7474,19893,163,-3216,1781
27715,5011,-7484,19952,160,-3227,1781
27725,5044,-7477,19886,156,-3230,1771
27735,4989,-7489,19880,178,-3230,1778
27745,5008,-7443,19871,169,-3222,1782
27754,5021,-7456,19863,176,-3221,1781
27764,5025,-7447,19897,162,-3223,1770
27774,5023,-7449,19884,155,-3222,1785
27784,5011,-7503,19900,162,-3227,1786
27794,5005,-7498,19889,174,-3223,1779
